SNP,Chromosome,Position,trait1
ATP6V1H,8,53715972,1.61693960332165e-07
SMYD2,1,214281256,2.47938403685755e-06
GLUD1,10,87051776,1.45073916367755e-05
TSPAN32,11,2302156,1.52949179097472e-05
SOX18,20,64048170,2.90916164406019e-05
TTC39C,18,24014873,3.01563899731683e-05
GTPBP1,22,38705968,5.88909127393622e-05
FBXO32,8,123503417,8.71321853069817e-05
LTBP4,19,40593179,0.000100908454038651
OR51E2,11,4681749,0.000103662675325578
SSNA1,9,137188727,0.000145212747844958
RGMA,15,93045015,0.000207166189548191
SPRR2G,1,153149891,0.000217468274978705
MUC13,3,124908160,0.000223099431825857
LHX5,12,113463198,0.000237307131181308
POM121,7,72926467,0.000245980840321125
FLT1,13,28303183,0.000257994970520925
ECH1,19,38815613,0.000284530305748154
LDHAL6A,11,18456726,0.00028562847691882
ACSM2B,16,20537261,0.000286668409180679
PAX7,1,18631608,0.000385708028492138
ISCA1,9,86266095,0.000393055257159158
ZNF578,19,52501846,0.00043114257360366
METTL3,14,21498271,0.000467839070460996
ZNF326,1,89995258,0.000478732885129896
RINL,19,38869114,0.000491133925550891
OR6C70,12,55469206,0.000500928884158314
HSPB7,1,16015592,0.000552270668794153
MYRF,11,61765630,0.000621468294376148
GAB1,4,143337194,0.000630755420870543
RAB5A,3,19950909,0.000642691238261994
SEC11C,18,59139949,0.000657701351908235
YAF2,12,42160593,0.000685070127277587
GYPC,2,126656278,0.00072725305214183
IWS1,2,127481067,0.000758850869409855
ZNF75A,16,3308450,0.000771548882437689
AIF1L,9,131096636,0.000782176004639812
DMRT3,9,977005,0.000807500725746202
PDE4B,1,65913340,0.000815197557237801
PLIN2,9,19116256,0.000985170316445627
TPM4,19,16067644,0.000994745273760977
ARID3A,19,929565,0.0010007117184414
DGKD,2,233354520,0.00102185380939224
ANKRD29,18,23601229,0.0010571259308364
CEP120,5,123346517,0.00110174732486845
NBPF4,1,108223709,0.00110457636083172
FAM96A,15,64072934,0.00115064734226655
FHIT,3,59752242,0.00117302963785082
SNAP29,22,20859121,0.00119674069145692
MARCKS,6,113857765,0.00125154282573248
RPL6,12,112405244,0.00126428165318326
HDAC4,2,239053120,0.00128360168208719
RIPK4,21,41740854,0.00129569494375048
GAS2L1,22,29308117,0.00130175221352324
NFIX,19,12995863,0.00131844418987548
IFRD2,3,50288207,0.00132173072700115
CCT4,2,61868697,0.00133455960228679
ALMS1,2,73385913,0.00135406447403719
AGTPBP1,9,85547125,0.00138708501296969
IGF1R,15,98649583,0.00142957981092151
CRK,17,1455891,0.00150003452241076
CLUH,17,2690611,0.00150471213031356
RPL3,22,39312960,0.00158318768644206
IER2,19,13153187,0.00161078681348914
SST,3,187669073,0.00170149780971818
LONP1,19,5692051,0.00172423515768361
ERVV-2,19,53049361,0.0017786997388789
RAB8B,15,63189683,0.0017793754778207
CCPG1,15,55356225,0.00187019685755918
CCL21,9,34709399,0.00202239253964409
SEC16A,9,136441758,0.002108873559451
SSTR2,17,73169320,0.00212677118974436
LOC149373,1,231185034,0.00214610471486543
TBC1D22B,6,37257927,0.00217990292613113
HDAC2,6,113941086,0.00220999861385418
FITM2,20,44306647,0.00222495901329478
GSTA3,6,52896813,0.00222845730630261
SPATA7,14,88385821,0.00224812037778077
SLC9A3R2,16,2027018,0.00233963506764057
C2orf81,2,74414343,0.00241826579967153
ADAM19,5,157480959,0.00246064259225431
RPL30,8,98041816,0.00248667748330189
LCAT,16,67939917,0.0025072247826774
ADCY1,7,45574559,0.00251048351684902
IFITM1,11,314174,0.00262155120173313
AMD1,6,110875109,0.0026361721250221
AES,19,3053856,0.00265586945161855
FAM24A,10,122911637,0.00267525300754579
AXDND1,1,179366544,0.00268068389196996
DNAJC12,10,67797156,0.00269475420121801
SPG21,15,64963642,0.0027122923235825
SNX31,8,100573879,0.00274086649381255
MECR,1,29194030,0.00283352323410924
TBC1D15,12,71839798,0.00284986549481969
SLIT3,5,168666465,0.00287663260763016
C10orf142,10,44292763,0.00291457651965377
CYB561D2,3,50351467,0.00293478176343553
