SNP,Chromosome,Position,Pvals
IFI16,1,159014801,6.74E-06
STARD13,13,33105643,4.98E-05
ZNF219,14,21090541,7.81E-05
AHDC1,1,27547337,9.50E-05
ELF2,4,139059030,0.000118906
SPATA31E1,9,87882904,0.000121203
TLR9,3,52221273,0.000154639
LINGO3,19,2290035,0.000169178
FAM136A,2,70297312,0.000213107
PTPN5,11,18728938,0.000242582
NES,1,156669392,0.000272795
F2RL3,19,16889199,0.000313825
ADGRE2,19,14743445,0.000357783
EEF1B2,2,206160662,0.000374307
TXNRD1,12,104215808,0.000398019
OXCT1,5,41731732,0.000419232
SOX4,6,21594595,0.000465161
TFAP2A,6,10398448,0.000466608
SPATA4,4,176184784,0.000480187
CCP110,16,19527924,0.000496501
RAD21L1,20,1228485,0.000504099
PDE3B,11,14644080,0.000511462
RAB3B,1,51919955,0.000539036
NMT1,17,45061336,0.000583482
SLC39A13,11,47410102,0.000583817
GJA4,1,34794274,0.000604882
TINAGL1,1,31577156,0.00063712
KRT80,12,52171426,0.000664046
ITGA3,17,50056582,0.000671844
PSTPIP2,18,45988741,0.000673287
HAUS3,4,2231955,0.000712909
MLPH,2,237493454,0.000714866
TLR2,4,153702965,0.000723341
PRPF38B,1,108692624,0.00073401
POTEM,14,18967501,0.000751286
SSU72,1,1542080,0.000759112
LRRFIP1,2,237627647,0.00076756
ANKRD54,22,37832686,0.00078676
SEC31A,4,82819099,0.00082526
OPA3,19,45529084,0.000828063
CEACAM5,19,41708763,0.000831421
GABBR2,9,98290643,0.000836456
ADGRB3,6,68638808,0.000855276
CCDC34,11,27338886,0.000906083
NCBP3,17,3813122,0.000912481
DENND1C,19,6467508,0.000919144
HSD17B11,4,87337277,0.000927483
FRA10AC1,10,93669842,0.000936144
PTAFR,1,28150009,0.000944734
ALDH16A1,19,49453345,0.000961794
CSMD1,8,2938682,0.00098791
NUBP1,16,10743877,0.001021705
SLC47A1,17,19533941,0.00104732
NIPSNAP3B,9,104764241,0.00118005
POMC,2,25161179,0.001206036
CFAP45,1,159872507,0.001214633
AKR1D1,7,138076540,0.001268718
ZNF732,4,271135,0.001281918
HMG20A,15,77458410,0.001286349
TMEM91,19,41378371,0.001334575
RNF175,4,153710374,0.001335483
POC1B,12,89425187,0.001374048
CADPS,3,62399527,0.001396279
PBXIP1,1,154945031,0.00140543
DNALI1,1,37556966,0.00141288
MTMR7,8,17299929,0.001421567
FLNB,3,58008646,0.001437764
CTDSP2,12,57823637,0.001439053
PADI2,1,17069087,0.001440397
CARNS1,11,67417441,0.001481707
NDFIP1,5,142108987,0.001492892
CMSS1,3,100147038,0.001516658
ZNF454,5,178942801,0.001553686
CDK19,6,110614539,0.001626287
CRLF3,17,30784288,0.001649788
TFDP1,13,113623182,0.00167039
TMEM115,3,50355350,0.001681723
CD79B,17,63929244,0.001711842
MST1R,3,49887330,0.001718749
PSD4,2,113182475,0.001726425
SRD5A1,5,6633558,0.001767419
P2RY2,11,73234188,0.001769179
B3GALNT2,1,235450223,0.001775256
BUB1B,15,40165106,0.001775448
LYRM9,17,27882577,0.001784336
TECR,19,14529697,0.001801345
CXXC1,18,50282601,0.001861607
TRAPPC3,1,36137225,0.00187738
PCBD2,5,134905155,0.001880042
OR1Q1,9,122614843,0.001976366
TMEM106C,12,47964265,0.001999213
OCIAD2,4,48885507,0.002048229
