SNP,Chromosome,Position,trait1
XRCC6,22,41622024,1.11259804554953e-05
CCDC62,12,122774674,1.62418872634573e-05
CD80,3,119527781,1.83994803303333e-05
MED1,17,39407486,2.07042360119702e-05
BANK1,4,101790894,2.13633472232466e-05
DDX41,5,177511797,2.17774837748541e-05
MARCH11,5,16067478,3.61440241244404e-05
NIPAL2,8,98192986,4.16005750264459e-05
ZNF143,11,9471345,6.13847410445567e-05
PGLYRP3,1,153297958,7.60433478288469e-05
OR9Q1,11,58179527,0.000114155448914799
CD55,1,207321767,0.000116469322299251
PGS1,17,78378668,0.000147649010478035
TAT,16,71568211,0.000151472602400449
TVP23C;TVP23C-CDRT4,17,15545818,0.000179570170118493
PDF,16,69329057,0.000213043781731592
MUC5AC,11,1158025,0.000227514810922758
KCNE1,21,34449300,0.000231036896129133
IGF2BP2,3,185645542,0.000241889079002244
KLRF1,12,9827546,0.000255472518433497
CCNT2,2,134918862,0.000268408056583569
EIF5,14,103335918,0.00027311755715409
FAM114A1,4,38878138,0.00027588686882718
ZCWPW1,7,100401034,0.000286351065559298
ARHGAP35,19,46918713,0.000310610986571369
C10orf113,10,21125835,0.000351630609302656
ZKSCAN4,6,28245122,0.000360051650862059
DCST1,1,155034056,0.000362691793267644
ABHD2,15,89116339,0.000364799157421714
EXOSC8,13,37000820,0.000369926473781756
SLC1A6,19,14950209,0.000387799840946945
VTA1,6,142147291,0.000409275605867121
CRTC2,1,153948119,0.000432506236627384
NOTCH3,19,15160723,0.000498227554788011
LYG1,2,99284398,0.000510907295810381
DNAJC18,5,139414162,0.000545784715994646
TANC2,17,63009606,0.000575816676412266
INPP5A,10,132538113,0.000594794070208349
C3orf58,3,143972345,0.000601747105943962
LMF2,22,50503393,0.000606729991662558
TNFSF4,1,173186547,0.000641079076220907
STAC3,12,57243855,0.000663736325456799
SPOP,17,49600394,0.000726040797217831
RRH,4,109828062,0.000736360748895271
IDO1,8,39913932,0.000741199943921411
KCTD15,19,33800474,0.000754708081128319
ATPIF1,1,28236202,0.000759335813142692
PAXBP1,21,32734961,0.000764816980428407
GALNT2,1,230067328,0.000798080163228132
RAB3C,5,58582403,0.000807626690489727
UBN1,16,4852922,0.000814233460488367
ZFP1,16,75166788,0.000815422771039409
AQP2,12,49950837,0.000815449335416329
UXS1,2,106094033,0.000872831574670441
ERLIN1,10,100152141,0.000957674050607649
SRSF6,20,43458043,0.00097725002139426
GPATCH11,2,37084534,0.000981808958654629
STX12,1,27773329,0.00102590209494513
SIGLEC11,19,49950068,0.00103585420701735
C1RL,12,7096425,0.00104934197881423
TMEM189;TMEM189-UBE2V1,20,50128011,0.00113837578101517
CLASP2,3,33498704,0.00121257385992724
TYMP,22,50525778,0.00133880919382845
ACP2,11,47240121,0.0013844443342117
CLCN7,16,1446635,0.00139551129812954
APOBEC3C,22,39015600,0.00141843051636892
CPNE8,12,38653892,0.00145179080401403
SERPINB10,18,63915511,0.00149310893945076
RIMS4,20,44756141,0.0015137563121459
LYPLA2,1,23792685,0.00151840288748262
LRRC14,8,144519750,0.00155106512670355
SH3BP1,22,37639795,0.0015537722133554
ALKBH2,12,109088228,0.00158151296391829
UCK2,1,165827849,0.00160179493324608
MECR,1,29194030,0.00160452679131873
GIF,11,59831680,0.00168989415373111
GABRD,1,2019430,0.00175431039580964
ZNF385A,12,54370272,0.00184701581124813
DZANK1,20,18384403,0.00185467594362021
KIAA1324,1,109114184,0.00189769358358294
EIF4E2,2,232550744,0.00190957124765689
MRPS15,1,36455843,0.00194057417002969
PIWIL4,11,94567526,0.00198440068704431
KLRC1,12,10446571,0.00199647532533986
SEC14L3,22,30460044,0.00201594225935808
USP39,2,85612328,0.00202837559536062
CD300LD,17,74580006,0.00208942307496396
CTSG,14,24573640,0.00211103678764546
R3HDML,20,44337171,0.00214047636209558
KCNK15,20,44745958,0.00218259595868342
TRMO,9,97904741,0.00219988507708158
PDE9A,21,42653828,0.00225548305950363
PLOD3,7,101206313,0.0022570130195303
PCDHGA5,5,141364344,0.00225741769585841
C11orf42,11,6205626,0.00226942906145655
PRIMPOL,4,184657153,0.00228663387327532
