SNP,Chromosome,Position,trait1
PNOC,8,28329161,1.76981292243639e-06
ZNF462,9,106923435,2.80401970798039e-06
ITGB1,10,32901608,3.2141356999249e-06
SNRNP48,6,7590258,3.79027799213283e-06
XPO5,6,43523878,1.40449689196576e-05
KCTD18,2,200490102,7.92024968527816e-05
CHAF1B,21,36386171,8.51094375718953e-05
DET1,15,88512985,0.000119897531935753
CLECL1,12,9716769,0.000122762255134301
SFRP1,8,41265178,0.00012539283390034
PFKFB4,3,48519758,0.000140082456180579
AKR1C4,10,5196873,0.000166172608170867
TRIP12,2,229767610,0.000199257148686516
MIP,12,56451281,0.000264656179925327
ZNF326,1,89995258,0.000306208289112986
SC5D,11,121303391,0.000329272844323936
TMEM246,9,101475895,0.000361540011683092
PDIK1L,1,26114318,0.000365402572892637
PAXBP1,21,32734961,0.00043697400882392
NUF2,1,163326106,0.000437791786514041
NDUFAF5,20,13785075,0.000460455758127032
EPGN,4,74308553,0.000463419910439744
GRAMD1B,11,123526170,0.000485955810277439
S100A5,1,153537299,0.00051532520130837
DNLZ,9,136362019,0.000538403268735554
GALR3,22,37823409,0.000545630307280498
NKX3-2,4,13542059,0.00054817637003135
MRPL20,1,1402130,0.000548386791159317
LRRC49,15,70873207,0.000589477204060662
PIK3R1,5,68226680,0.000634994403447831
PARL,3,183829606,0.000661405047773123
DOCK4,7,111728290,0.000672150128214644
C2CD6,2,201487628,0.000698717398027737
SMIM12,1,34855716,0.000700374066497145
CPSF4L,17,73248497,0.000704275874341853
JUNB,19,12791774,0.000704986527099161
CLEC4C,12,7729609,0.000744273106221383
HIST2H3D,1,149813284,0.000816490629968913
TCEANC2,1,54054434,0.000819701605582313
KCTD6,3,58498762,0.000840991460471896
CECR2,22,17477593,0.00085070361906181
EEF1A2,20,63488306,0.000858579185057939
TGFB1,19,41331063,0.000876245893867811
NFATC2,20,51391400,0.000878770953837926
PRR14,16,30651813,0.000885638981320325
OR52N5,11,5777665,0.00095606163230666
ITIH1,3,52777628,0.000959579940925437
PQLC3,2,11155551,0.000963921153527614
SETBP1,18,44701377,0.0010122219617773
SCIN,7,12570794,0.00101440416566823
CDK7,5,69234988,0.00108800785995955
PTGER1,19,14472567,0.00109590311864982
PGLYRP1,19,46019240,0.00109679450818845
GATAD1,7,92447760,0.00115316579250913
YARS,1,32775984,0.00120098157333259
DNAJC24,11,31370756,0.00122461161584408
UCK1,9,131525057,0.00124443599409485
ID1,20,31605397,0.00127214431509004
TNNI3,19,55151864,0.00131577526378202
AMD1,6,110875109,0.0013536738266946
CEP126,11,101915289,0.00138382339219001
KCTD12,13,76885202,0.00142927636990964
POTEJ,2,130611558,0.00153844615759524
ARMC10,7,103075318,0.00155198466411177
SOCS5,2,46758533,0.00157351516289428
PSMG4,6,3259023,0.00159025128540202
ARHGEF7,13,111115543,0.00160608654291761
DLST,14,74881960,0.0016778954037413
DNAJC16,1,15529131,0.00168309454295079
PABPN1L,16,88863737,0.00169281660757414
ITSN2,2,24203627,0.001704785071864
OR52M1,11,4545192,0.00172103040237992
GABARAPL2,16,75566500,0.00172354856574197
SUSD2,22,24181563,0.00173069517673619
REXO4,9,133406953,0.00184678221248347
AMT,3,49417348,0.00191407701644519
DNAAF3,19,55159099,0.00193339171128659
ZBTB3,11,62752116,0.00196361895884622
SPATA20,17,50547210,0.00197174185548143
GNRH1,8,25419428,0.00204478878041425
KCNIP4,4,20730085,0.00209244766372674
CDR2,16,22346988,0.00215203520397711
ARHGEF15,17,8312055,0.00218290692516632
HPSE,4,83295344,0.00221894826061764
CDC14A,1,100352982,0.00226272239173042
RFC5,12,118016837,0.002277856713916
CNTN1,12,40908443,0.00229812800688978
RIPOR2,6,24806387,0.00230730680441316
EPS8L3,1,109750396,0.00231029379780057
TMEM65,8,124313964,0.00231988411863582
TAOK3,12,118150999,0.00234139774758158
SPNS3,17,4433972,0.00237391882611282
MAP4,3,47852796,0.00240631866031926
PSD2,5,139809441,0.00242262808739457
MRPS5,2,95087365,0.00245988441195832
PDP2,16,66884325,0.00248390658108222
ZNF169,9,94292356,0.00250444396296212
OR1M1,19,9093245,0.00251663867960228
JCAD,10,30017893,0.00254158699626916
STOM,9,121339639,0.00264280913804937
TMCO3,13,113495624,0.00268132919973729
TAF1D,11,93736168,0.00269381330199636
SLC36A1,5,151458825,0.00269933377869924
HFE2,1,146018092,0.00271994612451931
RPL4,15,66499407,0.0027426643406403
HOOK1,1,59815134,0.00279540410052292
STK11IP,2,219598142,0.00282001475268157
RUNX1,21,34792155,0.00285888195096773
GPC2,7,100170234,0.00288165224631509
POLR2B,4,56986354,0.00288990166059455
ZNF383,19,37230454,0.00289746213410691
OR8D2,11,124319273,0.00292560328575797
MXD4,4,2250548,0.00292698266590763
SQLE,8,124999407,0.00294774121624719
A4GALT,22,42692907,0.00295481509565432
LCP2,5,170248699,0.00300945764774629
CECR6,22,17119416,0.00327104405256518
SPERT,13,45702392,0.00328106108555881
PPOX,1,161166860,0.00331287584926088
CELF1,11,47472301,0.00332782577926594
ST13,22,40826542,0.00337361255033075
ATP6V0D1,16,67438670,0.00339825654117176
ANKRD16,10,5878138,0.00339989415724007
PGBD2,1,248913863,0.00352409304927759
FPGT;FPGT-TNNI3K,1,74198240,0.0035489479192059
KRT36,17,41486410,0.00370657725943069
EXOC7,17,76083671,0.00375487225911841
ZNF784,19,55621756,0.00383569852888122
ZNF845,19,53341317,0.00386053514624529
FOXE3,1,47416317,0.00396593652916499
PRICKLE1,12,42459864,0.00399230326575861
ZNF335,20,45948963,0.00399913630080928
GPX7,1,52602428,0.00401431881122205
TMEM108,3,133229346,0.00402868705044157
SOCS1,16,11254850,0.00406133443051182
POLR2F,22,37956783,0.00409513582002941
BRD8,5,138140112,0.00410027497310739
C1QL2,2,119156807,0.00412094547259423
SPDYE3,7,100307890,0.00414061649389474
FRMD5,15,43873174,0.00419228706744323
ACVR2B,3,38454335,0.0041940105445738
TIGD3,11,65355822,0.00425208742687033
PPP1R14D,15,40815651,0.00425824061309688
PNPLA7,9,137460397,0.00427278393651753
ZNF615,19,51992930,0.00433943272773973
POP7,7,100706844,0.00442413228005667
NLRP13,19,55892099,0.0044327868688635
CDH6,5,31267475,0.00444011822512502
AMER3,2,130762086,0.00444039327895429
PIGP,21,37065599,0.00449440267238643
USP19,3,49108420,0.00451445951996177
CHCHD3,7,132785642,0.00454506406990973
CMKLR1,12,108291851,0.00458501860978899
OR10S1,11,123976698,0.00462397468926889
ZNF701,19,52572290,0.00469467490461029
GSS,20,34928846,0.0047032618617302
VAC14,16,70687939,0.00472339892260176
PTGES,9,129739621,0.00479361860452099
SMIM27,9,32552445,0.00483734945110503
MFSD12,19,3544717,0.00488790270396522
CHIC2,4,54010105,0.00490368714953204
PROSER1,13,39011429,0.00491291568202856
TOR4A,9,137278697,0.00494007082729597
CSRNP3,2,165595105,0.00500580981865273
SPCS3,4,176320103,0.00500736958712888
SIPA1L3,19,38081578,0.00507693035241341
GPIHBP1,8,143213275,0.00508901606476986
GOLGA3,12,132773115,0.00510035709005263
CALY,10,133325834,0.00510282835218778
SLC6A18,5,1225482,0.0051028942390543
ELOVL3,10,102226549,0.00513152039281217
POMK,8,43103549,0.0051443983495828
SPRR2D,1,153040132,0.00514679851927968
SMU1,9,33047321,0.00518630106829632
SMIM5,17,75640214,0.00522286971270436
MAN2A1,5,109690418,0.0052790839780501
KCTD4,13,45193811,0.00529010339378977
PTPRF,1,43545086,0.0053142066664944
VPS50,7,93239894,0.00534153721344821
C19orf71,19,3539185,0.00539739370753312
NVL,1,224227626,0.00542116511657642
TTBK2,15,42745808,0.00544587898063531
ALG5,13,36949948,0.00549500778943057
CLEC1A,12,10071344,0.00557807459172344
C2CD4D,1,151837938,0.00565580781131991
CWF19L2,11,107326917,0.0056804044822889
C8orf4,8,40153535,0.0056820452000006
BAGE2;BAGE3,21,10413744,0.00571862004232704
PLOD3,7,101206298,0.00576848484209302
LRRC32,11,76659606,0.0058085733258938
RBM28,7,128310804,0.00583693648629968
RUVBL1,3,128081273,0.00586158908564549
INS-IGF2,11,2147634,0.00598162983553752
SPHAR,1,229305151,0.00599019853526495
CEBPG,19,33379241,0.00600402335179129
CD300C,17,74541591,0.00605917428349201
RUFY1,5,179550570,0.0060765391597507
THUMPD2,2,39736746,0.00608422094085281
CST9,20,23603541,0.00616788201627616
PGBD5,1,230323435,0.00627060286858072
HSPG2,1,21823320,0.00627358857958382
IRF8,16,85903029,0.00629653308377209
PLD4,14,104927126,0.00630703198032323
ANKS6,9,98736542,0.0063110019817324
KIF9,3,47228654,0.00634637193686438
S100A13,1,153618910,0.00635591349055631
PNLDC1,6,159800314,0.00640363417145118
EXPH5,11,108509551,0.00643032476798533
ZNF696,8,143293024,0.00646002660923839
EPN1,19,55677187,0.00651785560232476
RGS9BP,19,32676273,0.00653037921313881
URGCP,7,43876674,0.00658343992918198
HIST1H2BI,6,26272978,0.00663080744825106
FGF9,13,21671919,0.00669115015191846
RPL24,3,101681139,0.00670061593692639
SPP1,4,87976897,0.00672739760027674
ZBTB18,1,244053846,0.00678396546754245
C9orf129,9,93318415,0.0068104644587047
LRP5L,22,25351833,0.00681977563301195
BIRC7,20,63236110,0.00692719843796186
MRPS18A,6,43671767,0.00698247430980714
CASC10,10,21495614,0.00698923056819378
FNTA,8,43056348,0.00701962100969811
ST6GALNAC6,9,127886477,0.00702541588112404
POC1B-GALNT4,12,89525903,0.00706548690279263
WDFY4,10,48709760,0.00717720351767448
PHOSPHO1,17,49224251,0.00719957522774273
KNG1,3,186717562,0.00721908347088673
NEUROD4,12,55026442,0.00722847232528467
SLFNL1,1,41016141,0.00724749147858672
RPL26,17,8377575,0.00725297103605549
NAA11,4,79325204,0.00732659832934968
SFRP4,7,37907493,0.00733131031411904
KRTAP9-2,17,41226698,0.00736872823385992
SMOX,20,4175076,0.00738403223969653
ZNF175,19,51573333,0.00747833393422015
RFNG,17,82048726,0.00753982228683736
TMEM87B,2,112055601,0.00761603283590284
MYL2,12,110911109,0.00766282837899424
LRRC56,11,549913,0.00770365753117208
WDR82,3,52258537,0.00772590552630936
UBASH3A,21,42403953,0.00776953005656833
ECH1,19,38815613,0.00777494574470772
CLIC6,21,34669401,0.0079709687627223
PPP1R13L,19,45380222,0.00798580419038597
SLC12A8,3,125083900,0.00800565246793916
TRAPPC13,5,65625074,0.0080532336390321
APOL3,22,36141204,0.00807164867580601
SVOP,12,108912537,0.00808769811517884
TEKT5,16,10627591,0.0081295900185766
C10orf88,10,122932437,0.00815428325984513
FAM8A1,6,17600420,0.00823304257563062
CCDC169;CCDC169-SOHLH2,13,36227356,0.00825598858832366
TCP10,6,167373185,0.00825922751594399
MAP1A,15,43521480,0.00826623698684481
SLC37A2,11,125063372,0.00829539431445525
ATP8B3,19,1783039,0.00831301266111428
PPP1R1A,12,54580945,0.00846904259614478
TACO1,17,63601095,0.00847659418359881
XAF1,17,6756081,0.00849602413135619
PRKG1,10,50991392,0.00856036989330189
HEXIM1,17,45149216,0.00868402257967527
WFDC11,20,45648724,0.00870330522780804
OR2AE1,7,99876069,0.00879420101213302
ALG1L2,3,130082030,0.00883602422508489
FLRT1,11,64116274,0.00885478649527682
GABRA5,15,26869279,0.00888903814944375
GPR156,3,120167042,0.00893539066600446
EIF3F,11,7987362,0.00895433758358988
KCNK10,14,88185573,0.00896786139280026
ITGAV,2,186590370,0.00897818426993757
PRCD,17,76540154,0.00913841371153445
FXYD5,19,35155552,0.00915366630986714
CHST8,19,33689271,0.00920120387527523
TGM3,20,2296068,0.00942124938014144
AARS2,6,44300553,0.00946437968946967
TBC1D9B,5,179863453,0.00950012753899387
C9orf57,9,72052333,0.00951139560816239
OR5D14,11,55795557,0.00970053682794658
NOS3,7,150993808,0.00973182329869837
ATP5D,19,1241861,0.00975746935231026
CLDN11,3,170419172,0.00990444411915525
CTSC,11,88294017,0.00990686855250689
OPTC,1,203496013,0.00991187353327494
RIT2,18,42743505,0.00992897102119039
ABCB9,12,122929916,0.00992972414135251
MVB12A,19,17420146,0.0100123501583382
C7orf73,7,135672765,0.0100124852601103
TIMM23B,10,49945062,0.0100540797810905
WFDC10B,20,45684831,0.0100570476661311
GAP43,3,115663809,0.010145042264561
RGS6,14,71964805,0.0101547920373747
OR5B12,11,58439230,0.0102086002387292
CASP8,2,201258254,0.0102486118298057
BMP10,2,68865654,0.0102540281866575
PCBD2,5,134905147,0.0102580115913814
ICA1,7,8113940,0.0102759025819212
SELPLG,12,108623082,0.0103746104648329
OR10Z1,1,158606440,0.0103829343970507
BUB3,10,123154938,0.0104202372359057
FNIP2,4,158769216,0.0104251065967725
BET1,7,93993910,0.0104263894355622
RELA,11,65654390,0.0104489949600267
KIFAP3,1,169921681,0.010451890450216
UBE3A,15,25340163,0.0104576684138624
ACVR1C,2,157533953,0.0105088352736841
SLC2A14,12,7814324,0.0105301188954833
RFPL1,22,29438814,0.0105412811563032
NMUR2,5,152392192,0.0105845825005301
UBTD1,10,97499207,0.0105886533740125
ELFN2,22,37373085,0.0107089169002538
GCAT,22,37807968,0.0108056366837955
FTH1,11,61964735,0.0108150491506015
TNFRSF10D,8,23137872,0.0108283330263207
HIST1H3I,6,27871945,0.0108302663666879
HBS1L,6,134965288,0.010865402723561
