SNP,Chromosome,Position,trait1
OR9Q1,11,58179527,1.73851601525943e-06
DCST1,1,155034056,3.53816826706987e-05
SLC9A3R2,16,2027058,4.76218523741689e-05
C10orf113,10,21125835,5.55827066278658e-05
VTA1,6,142147301,0.000106535147549325
HELQ,4,83407479,0.000117213891161594
POLR2A,17,7495984,0.000125624776282418
RELA,11,65654421,0.000156353105670526
ZNF143,11,9471414,0.00017212764482788
USP50,15,50500812,0.000173227546835797
DDX41,5,177511797,0.000206316508760795
VRK1,14,96833478,0.000232371690311206
SYNE4,19,36003356,0.000235986554104284
AQP2,12,49950844,0.000239027144574799
ZKSCAN4,6,28245122,0.000267479308847851
MARK4,19,45251607,0.000296824046985722
ONECUT2,18,57435774,0.000298959078528838
SDCBP,8,58565025,0.000299741797844755
AATK,17,81118433,0.00030929609202146
SDE2,1,225985325,0.000331824870194897
TMEM33,4,41935519,0.000337165795881944
MAP2K4,17,12020905,0.000340221361602389
SMYD2,1,214281286,0.000362113220636062
DEPDC7,11,33016552,0.000370417745020557
METTL13,1,171781980,0.00040233150913993
MED1,17,39407486,0.000404969626079832
NMNAT1,1,9972126,0.000423246182915893
CD55,1,207322432,0.000432182206841603
TMEM131,2,97757121,0.000452585102052039
ALKBH3,11,43882666,0.000469783421848669
CCDC71,3,49162839,0.000513843401546699
TAS2R60,7,143443481,0.000549900408897797
TSPAN18,11,44906443,0.000568068092430263
CENPC,4,67474905,0.000618822117263496
SNF8,17,48931654,0.000630767944779564
EFNA1,1,155131347,0.000658236964493519
ARNTL2,12,27368279,0.000659356099711794
TPP2,13,102597039,0.000663151404210804
MECR,1,29194030,0.000692805577912292
SNX15,11,65027545,0.000746717202120384
THPO,3,184372521,0.00078808401632513
CDH13,16,82627076,0.000796151857853422
CASTOR1,22,30285661,0.000800464496731768
DNA2,10,68416828,0.000816578936316814
HIST1H1B,6,27866864,0.000820909282058246
LSP1,11,1853158,0.00082404384145629
PADI3,1,17249207,0.000843262053602523
OR2A14,7,144129155,0.000845785950304268
IZUMO3,9,24543243,0.000855119550275729
MARCH11,5,16067478,0.000855208524540574
COLEC10,8,119067295,0.000861419327453206
ENPP4,6,46139589,0.000878896192291312
NOMO2,16,18520888,0.000879456616367458
FBXO27,19,39025431,0.000885925460126447
HNRNPF,10,43386741,0.000933925113388079
CPA2,7,130266903,0.000950426599357068
AMY2A,1,103617447,0.00101940646248544
TACSTD2,1,58576189,0.00103668567692006
ADH6,4,99204238,0.00104876095099171
COX18,4,73058190,0.00106929551329604
ZFP1,16,75166801,0.00108789172327695
REP15,12,27696645,0.00113206746044681
DRD5,4,9782057,0.00119462969607365
CASP5,11,104995788,0.00121770315922676
THEM6,8,142727503,0.00121920234823159
ABCF3,3,184186208,0.00126429313946097
DET1,15,88512988,0.00131558393486586
CNPY2,12,56310562,0.00132039122092842
FADS3,11,61873831,0.00134318955329882
KIAA1161,9,34370807,0.00139331952572208
DISP2,15,40358332,0.00139985147279531
KIF2B,17,53823046,0.00140378650856643
LCE2D,1,152664140,0.00141597878931288
SLC11A2,12,50981749,0.00141954987770498
KRT84,12,52378037,0.00144177790611089
FOS,14,75279013,0.00145080329573055
MAATS1,3,119703107,0.00146482530852099
ZBTB4,17,7462005,0.00147369446052104
B9D1,17,19341242,0.0015665495513002
DYRK4,12,4591290,0.00162164428149569
ACO1,9,32405591,0.00162215764682072
GSS,20,34928846,0.0016418218090517
HYKK,15,78513159,0.00165551585288404
DCDC2,6,24174746,0.00170622505260964
ARHGEF10L,1,17587460,0.00173462940630709
KIN,10,7756105,0.00174840616275873
STX2,12,130791902,0.00175370230752647
OR2G6,1,248521655,0.00182598790480326
B3GLCT,13,31200136,0.00183634826786871
ZBTB18,1,244053861,0.00184814979264136
PLPPR5,1,98893086,0.00190023617633905
AKR7A2,1,19304229,0.00193528343170624
KERA,12,91051452,0.00197058161886776
