SNP,Chromosome,Position,trait1
NMI,2,151270695,6.49888747850103e-06
E2F5,8,85177436,8.4120552372724e-06
BLNK,10,96192016,1.8554878589927e-05
SH3BGRL3,1,26280162,4.88314117617072e-05
ATL1,14,50560279,7.1494771331948e-05
MLC1,22,50061600,0.000177533077719172
PLD1,3,171603079,0.000213546649263763
TBCB,19,36115571,0.000384718981092713
TCF23,2,27149153,0.000405547221148272
FAM167A,8,11424375,0.000509453908052793
MRPL11,11,66436035,0.000597042059305219
CDX1,5,150166881,0.000622839848118173
HOXB5,17,48592229,0.000629007796737024
FABP12,8,81525075,0.000683824130606969
NUDT16L1,16,4693733,0.000684925974871575
RNF219,13,78615587,0.000711356809109831
ALYREF,17,81888135,0.00071359265142934
SYDE1,19,15107444,0.000732482565857784
CREM,10,35137845,0.000801898263242395
JPH3,16,87603151,0.000806267763227897
NISCH,3,52455642,0.000842391200090109
TIMM17A,1,201955528,0.000898796571081939
POLR2D,2,127850591,0.000942425214825127
TIMD4,5,156919459,0.000958464076128096
RNF8,6,37354165,0.000970522425856823
DNAJC8,1,28201303,0.00103596071323542
RABL2B,22,50768810,0.0010498317878519
BEND7,10,13439173,0.00106601582860233
FASTKD1,2,169529827,0.00107270812614213
OR4F4,15,101922148,0.00112448621536787
OSBPL3,7,24800209,0.00113566241275431
BLOC1S2,10,100275472,0.00114812605704806
METTL6,3,15411294,0.00118504701551769
PFKP,10,3067601,0.00128766157074311
TRPM2,21,44353707,0.00131050175777037
SERPINB6,6,2948305,0.00142532857073419
HIST1H2BB,6,26043281,0.00147336325581027
LRRC4B,19,50517606,0.00149865433379781
HRC,19,49151304,0.00154252668078714
HSPB7,1,16015592,0.00158056209301727
KCNE1,21,34449295,0.00158933119867954
DGKB,7,14149136,0.00173688899686597
OSBPL6,2,178306197,0.00174358088758086
ANKRD49,11,94496713,0.00180232708591666
RASL10A,22,29313323,0.00180440420441519
BCL7A,12,122022145,0.00183945069097569
IMMT,2,86144270,0.00187366622000884
SIGIRR,11,405900,0.00190071727422592
LSM4,19,18309687,0.00190628109289626
TOM1,22,35299958,0.00196521411297312
EPGN,4,74308553,0.00205502380671208
PDIK1L,1,26114318,0.00206672909068928
AAED1,9,96641769,0.00209364810263235
CLTA,9,36191060,0.00214834348055259
ACKR4,3,132600422,0.00222656684609424
CHCHD5,2,112584649,0.00222817877946857
HNRNPH3,10,68337235,0.00227287065329707
NR4A1,12,52041810,0.00237914144511986
ACSL6,5,131954272,0.0024140015797377
HTN3,4,70030746,0.00256098031293228
CHORDC1,11,90202421,0.00258005919188331
FSTL4,5,133199105,0.0026541619794328
CPSF4,7,99439125,0.00268638862777393
INAFM1,19,47274924,0.00270522367353188
GPT2,16,46884723,0.00276851095866926
PAX9,14,36662090,0.00278350131306393
EHMT1,9,137619029,0.00279929121890621
TBCK,4,106046604,0.00284356721173207
RASGEF1A,10,43196260,0.0028554562542572
TSPAN33,7,129161685,0.0028593457795415
A2ML1,12,8822677,0.00289127321133942
CEP112,17,65637149,0.00291332143955281
GJA4,1,34794257,0.00295146574050564
DIO2,14,80202713,0.00295216441178925
RAB11FIP2,10,118009012,0.00297139633601229
HOXC12,12,53954930,0.00307706601928792
PPP1CB,2,28752155,0.00310472432665243
GBX2,2,236165949,0.00313968567626444
MRGPRX3,11,18137209,0.00319228929744364
PRSS35,6,83523452,0.00319665895016974
PLPPR4,1,99264453,0.00337001396124303
FAM193A,4,2631014,0.00347008197952647
RPL15,3,23917914,0.00352713797698911
MUC5B,11,1225690,0.00358336685920579
IL7R,5,35856979,0.00363052484102233
ALDH3A1,17,19738325,0.00363843685550447
GPT,8,144504321,0.00364789214224615
PMS2,7,5973421,0.00371161060420533
ZNF622,5,16451683,0.00383948108553545
ALDH1A3,15,100879915,0.00385707438341454
FSHB,11,30231918,0.00386745455154247
BIRC3,11,102324514,0.00397830798343657
C8orf82,8,144527342,0.00400787438854266
CCND3,6,41935950,0.00408006597423216
CNTN2,1,205057921,0.00409331284627246
RLF,1,40161409,0.00410763033221551
UBE3A,15,25340163,0.00411136896318909
CDC42EP3,2,37645885,0.00411673952363445
MFSD3,8,144509338,0.00414667222978737
SLC31A2,9,113151075,0.00417464628173769
GRAMD1B,11,123526170,0.00418889329255279
TMEM127,2,96253834,0.00422779113521632
OR10J3,1,159313674,0.00432272204797002
TPCN1,12,113226818,0.0043769562999626
SLC39A8,4,102259456,0.00440268942483035
TEAD4,12,2994777,0.00451669256625986
FAM174B,15,92630226,0.00452361843352378
MGST3,1,165649863,0.00461760127866373
NEDD4L,18,58044670,0.00470051754431655
TMBIM1,2,218275475,0.00472164165701783
MARCH10,17,62701708,0.004748313916491
HEY2,6,125749784,0.00475063499189976
ADCY2,5,7396313,0.0047591515959553
COPB2,3,139357871,0.00480082728092446
GRIA4,11,105611001,0.00489337060226891
BMP7,20,57170975,0.00489842427190201
PBX1,1,164559831,0.00495096548197316
RNASE12,14,20590311,0.00503682074148859
TMEM190,19,55376867,0.00507211813286479
RASAL1,12,113099936,0.00509532315732286
IL20,1,206865854,0.00513764036294362
PAPOLB,7,4859916,0.00515380221096562
AMPD1,1,114673149,0.00521137690057139
SFMBT1,3,52905140,0.00523089881381689
CEP350,1,179986231,0.00524683520740898
CYP3A4,7,99758147,0.00525038580437265
EXOSC8,13,37000818,0.00534155767916578
PDIA2,16,283174,0.00546771058539663
CD58,1,116519227,0.00547692200105365
NBPF9,1,149055661,0.00560180653567199
PDS5B,13,32648798,0.00561107091852175
MBOAT7,19,54174058,0.00563793826958958
SMG8,17,59210053,0.00565181805902704
PRKAG2,7,151557208,0.00572428888921828
TIPARP,3,156677723,0.00572964030341416
PLK3,1,44800465,0.00580994596021223
MED23,6,131586928,0.00589726206983709
CRBN,3,3150876,0.00593662932453543
TBX15,1,118884739,0.00596551722023209
PDCL,9,122820102,0.00612517223315312
C14orf177,14,98716196,0.00615820691876046
ARL6IP4,12,122980206,0.00624883690316369
SEC16B,1,177929865,0.00627379291478614
FDX1L,19,10310496,0.00628031889986436
LMBR1,7,156684124,0.00630103312148844
CAMK2N1,1,20483675,0.00633344278467496
FAM71C,12,99648187,0.00635473134830433
BLOC1S3,19,45179313,0.00639235456478782
RNF14,5,141973591,0.00640266166329218
ARHGAP39,8,144530430,0.00643065259461084
RPS29,14,49577820,0.00643953391202523
OTP,5,77630269,0.00646987017785494
NR2E1,6,108168037,0.00649024811052989
GFI1,1,92476048,0.00649385436461614
SAXO1,9,18928071,0.00653210928732695
MYL12B,18,3272903,0.00653439554146507
FOXH1,8,144474238,0.00660924242820804
TIMMDC1,3,119498735,0.00661997540845571
NUDCD2,5,163453974,0.0066522792464816
RAPGEF3,12,47737575,0.00666166294308801
HOXD10,2,176116834,0.00670341183442391
IRF8,16,85903029,0.0067582876853004
RAD21L1,20,1228477,0.00684327552649655
TMEM56,1,95191596,0.00689791073852863
ANKRD23,2,96839549,0.00692063277373467
GLYATL2,11,58834448,0.00692255313619106
NOXO1,16,1979053,0.00697504984954411
CD1E,1,158353989,0.00699125587081784
PPP1R3E,14,23301440,0.00699570398655092
PRAG1,8,8318171,0.00702088500248621
POLR3D,8,22245451,0.00710484216904184
SMPDL3A,6,122789377,0.00710890500950589
PCDHA1,5,140786294,0.00710976209608483
TEX22,14,105399359,0.00721621197560474
WDR88,19,33132176,0.00739989930628782
CCDC114,19,48296983,0.00743260218340291
FAM19A1,3,68006647,0.00749114224964209
AMH,19,2249336,0.00749255609534683
VCP,9,35057129,0.00750814586233528
OR2B6,6,27957241,0.0075549608194192
MYLK4,6,2671318,0.00762185657403314
GNG4,1,235552111,0.0076429701148546
