SNP,Chromosome,Position,trait1
TNC,9,115021170,1.30045701540737e-07
HOMEZ,14,23275571,6.92295835514889e-05
HMGN1,21,39343134,7.92757341077088e-05
GSK3B,3,119843302,0.000108396893460649
EZR,6,158766934,0.00017253931437955
PTPRO,12,15322757,0.000234871759722921
CDK15,2,201806711,0.000240501735888521
MARCH2,19,8421841,0.000286413110207051
CACNA1B,9,137877952,0.00028748016141511
GLP2R,17,9826109,0.000337487829490946
CAVIN4,9,100578324,0.000340421438424499
ZNF397,18,35242508,0.000340898148947222
CA10,17,51633488,0.000348989747570583
COL4A2,13,110307941,0.000386467362593068
RPS6KA4,11,64359394,0.000405277855823338
LHFPL3,7,104328788,0.000426628135180462
STEAP1B,7,22438510,0.000449777359709191
RC3H2,9,122849721,0.000483475533909261
NDUFAF1,15,41387467,0.000535052049537632
ARNTL,11,13354361,0.000538657906820839
TMEM59L,19,18612978,0.000551363921189707
NCKAP5L,12,49791897,0.000583204652650493
KCNU1,8,36784411,0.000600448529290976
IGFBP1,7,45888818,0.000651672412790738
TFAP2C,20,56631205,0.000669048874587186
ZNF853,7,6617217,0.000758859509565002
DUSP6,12,89349258,0.000776061060999478
SPTLC1,9,92032341,0.00083025729687447
ZNF777,7,149431787,0.000862440122714858
SAA1,11,18266923,0.000864635429962735
CAMKK2,12,121240524,0.000887989649029364
GTF2I,7,74698965,0.000893966898521281
STRBP,9,123125667,0.0010030195426427
KIF26B,1,245155440,0.00100797092892202
KIF24,9,34254432,0.00104862459235322
RHBDL3,17,32266214,0.00104903181670291
DDX58,9,32457141,0.00110347869139826
SRPRA,11,126263990,0.00112178810005015
CALCOCO2,17,48841729,0.00112194282272304
RPL39L,3,187121291,0.00115184106743083
SOAT2,12,53103582,0.00116801035954328
APLP2,11,130069982,0.00117688148489115
OR52N5,11,5777821,0.00117965758193994
MAP6D1,3,183817394,0.00123449519561714
KRT86,12,52301944,0.00124413680297975
SSTR5,16,1078894,0.00125116290225458
OR2T34,1,248573824,0.00129743195151688
RASSF6,4,73576245,0.00133807496542837
ZNF703,8,37696092,0.00139486927575827
ATL2,2,38298195,0.001408938904782
CR2,1,207454422,0.00141064893859211
ZMYND19,9,137582549,0.00141350350587388
SKA3,13,21155148,0.00141584840603848
CHEK2,22,28687947,0.00143009978071496
SERPINA3,14,94614449,0.00143079204450869
RPS6KC1,1,213071024,0.00149264777179647
OSBPL5,11,3088236,0.00149325152905067
PRR18,6,166307299,0.00153395211015794
FOLR2,11,72218640,0.0015455021406493
PATL2,15,44667176,0.00159610231647123
FBXO22,15,75904004,0.00169618664920002
GPR25,1,200873089,0.00174063599693342
RHNO1,12,2885388,0.00181174176099719
SURF6,9,133331885,0.00183662232029203
SLC9A8,20,49812936,0.00188597116823841
PRDM11,11,45181810,0.00192583457600559
BEGAIN,14,100538045,0.00193978932952177
SGCZ,8,14090558,0.00199441316891402
CHMP3;RNF103-CHMP3,2,86505852,0.002012930144911
WDR90,16,649784,0.00212410187041601
BMPR2,2,202377541,0.0021496486424385
APOBEC4,1,183647690,0.00215185848426402
PCDHGC3,5,141476165,0.00218384315297215
APBA1,9,69516024,0.00221751117335511
PRPS1L1,7,18026857,0.00224072222387406
OS9,12,57694186,0.00225878451950179
KRT4,12,52807133,0.00225930488298709
HAVCR1,5,157029662,0.00226080006694418
GMEB1,1,28683635,0.00230876073668562
PDE8A,15,84982188,0.00231239068812628
AGT,1,230703157,0.00231795503260313
TBC1D10B,16,30357964,0.00240257470535377
CADPS2,7,122345659,0.00246746193334968
EXTL2,1,100873986,0.00251635728329069
UCK2,1,165890208,0.00252679656179389
TPM4,19,16067733,0.00252909316419325
CHCHD7,8,56212847,0.00254130458872848
PRPF18,10,13587151,0.00255822129093264
ZDHHC16,10,97451680,0.00256844675648626
PDE12,3,57556410,0.00257317148545022
MEN1,11,64804546,0.00260292016310304
EFHB,3,19879634,0.00260511422344112
PTPRN2,7,157571470,0.00269748374478695
ZNF254,19,24105980,0.00273284475116087
ZNF860,3,31989113,0.00273905925006201
SLCO1B1,12,21141612,0.00274932168156383
FAM86B1,8,12183631,0.00279687737548384
CMIP,16,81445262,0.00280919530790513
AGPAT4,6,161136617,0.00284027127018105
THRA,17,40076887,0.00296401509166999
PIGN,18,62045869,0.00307303351893196
TMEM235,17,78232025,0.00307972710045856
ADGRA3,4,22387736,0.00309332851793331
VEGFB,11,64234835,0.00311883825323844
CARMIL2,16,67645262,0.00312706649917249
PTGS1,9,122371212,0.00322832240570514
PLSCR4,3,146194421,0.00333201286115781
PIGK,1,77092385,0.00335408065116205
ANKRD37,4,185397178,0.00335671402792737
ATP2B1,12,89591057,0.00338793614407706
SDHAF2,11,61430151,0.00341821000607156
NPFFR2,4,72031951,0.00343662226953867
USP10,16,84733473,0.00344648713387674
RRP7A,22,42512913,0.00347706993761365
RFC4,3,186790033,0.00350155832934684
KISS1R,19,917639,0.00354112601976797
TXK,4,48067637,0.00358449516679915
ATXN1L,16,71849810,0.00360008831322811
CYP8B1,3,42874318,0.00361555580787865
COG4,16,70481012,0.00363037953077339
AFF3,2,99554313,0.00366557822886937
SFXN3,10,101034734,0.00369469250462495
WNT10A,2,218880998,0.00375769095600131
SEC13,3,10301281,0.00377226748417359
PARD6G,18,80159782,0.00384394485484629
NSUN2,5,6599930,0.00386698667083085
DENND6A,3,57628227,0.00389979354309256
NISCH,3,52455661,0.00394207258842583
METTL18,1,169792584,0.0039784699473151
GPX6,6,28504341,0.00398994215581849
EPCAM,2,47369510,0.00403044440500788
TMEM106A,17,43213057,0.00403449108910037
ARC,8,142613124,0.00406083899049658
TXNDC11,16,11679233,0.00408539793830787
C11orf16,11,8921320,0.00409012838025535
LRIT2,10,84221929,0.00409554410136781
RHOV,15,40873165,0.00413540667607881
OR10Z1,1,158606453,0.00414899250511691
TGIF2,20,36591019,0.00418184545637401
HES4,1,999108,0.00418432596643747
L2HGDH,14,50247074,0.0041968735489285
MOB3B,9,27330609,0.00421956964951109
OR13F1,9,104504293,0.00423622965447035
MXRA7,17,76677602,0.00443662547391643
RHBDD3,22,29260086,0.00444462899836873
ZNF462,9,106923444,0.00444863346647595
