SNP,Chromosome,Position,trait1
CCDC62,12,122774674,6.6241154508262e-06
XRCC6,22,41622024,1.21872898873887e-05
CD80,3,119527781,1.99206685193021e-05
DDX41,5,177511797,2.27658325218094e-05
MED1,17,39407486,2.4320733484906e-05
BANK1,4,101790894,2.46339608569457e-05
MARCH11,5,16067478,3.99793874679144e-05
NIPAL2,8,98192986,4.42789143708655e-05
FAM114A1,4,38878138,7.16904481774527e-05
ZNF143,11,9471345,8.26557276475404e-05
PGLYRP3,1,153297958,9.12263969279348e-05
CD55,1,207321767,0.000119680274893175
OR9Q1,11,58179527,0.00014405402481299
TAT,16,71568211,0.000169487268403157
TVP23C;TVP23C-CDRT4,17,15545818,0.000174609492506361
KCNE1,21,34449300,0.000233258738666753
KLRF1,12,9827546,0.000236851897116086
PDF,16,69329051,0.000281560224283828
PGS1,17,78378668,0.000282951467365677
MUC5AC,11,1158025,0.000292965502067033
CCNT2,2,134918862,0.000299538371801855
IGF2BP2,3,185645542,0.000300706849538979
EIF5,14,103335883,0.000342794544020864
ABHD2,15,89116339,0.000364181984557121
ZCWPW1,7,100401034,0.000367394528390963
SIGLEC11,19,49950068,0.000371599735416783
ARHGAP35,19,46918713,0.000389492156866011
CRTC2,1,153948119,0.000399059945627167
SLC1A6,19,14950209,0.00040357083273912
USP50,15,50500785,0.00041764928826038
ZKSCAN4,6,28245122,0.000433536471837526
C10orf113,10,21125835,0.000443676248884639
SH3BP1,22,37639795,0.000451123107896412
DCST1,1,155034056,0.000461250069379471
VTA1,6,142147291,0.000461441892560366
EXOSC8,13,37000820,0.000462671924694513
LYG1,2,99284398,0.000589906570038434
TANC2,17,63009606,0.000631732658261108
TNFSF4,1,173186547,0.000645678260631777
NOTCH3,19,15160723,0.000664913692599245
DNAJC18,5,139414162,0.000675519838387428
INPP5A,10,132538113,0.000687331824375748
STAC3,12,57243855,0.000703147156616679
SPOP,17,49600394,0.00072933483605897
KCTD15,19,33800474,0.000751957526167524
LMF2,22,50503393,0.000764766184134458
ATPIF1,1,28236202,0.000806756057322833
RAB3C,5,58582403,0.000810025616219234
IDO1,8,39913932,0.000812071232519473
C3orf58,3,143972345,0.000860539280286177
PAXBP1,21,32734961,0.000895472083263793
ZFP1,16,75166788,0.000920522486116959
AQP2,12,49950837,0.00092130804880719
RRH,4,109828062,0.000937385641089472
ERLIN1,10,100152141,0.000981091779312715
GALNT2,1,230067328,0.000993569829142449
GPATCH11,2,37084534,0.00104465587904168
STX12,1,27773329,0.00104744543210666
SRSF6,20,43458043,0.00107658664598109
C1RL,12,7096425,0.00110046758683402
CACNA1H,16,1153772,0.00110083004332351
UBN1,16,4852922,0.00110087266681302
UXS1,2,106094033,0.00110446480556559
KRTAP10-2,21,44550729,0.0011077619060359
TMEM189;TMEM189-UBE2V1,20,50128011,0.00123226983970215
ACSM5,16,20411493,0.00134049910186418
RSL1D1,16,11837800,0.00138226552673237
TRIM29,11,120112425,0.00149801410402672
LYPLA2,1,23792685,0.0015175814194327
APOBEC3C,22,39015600,0.00153748175031343
