SNP,Chromosome,Position,trait1
CKM,19,45306752,1.49095400390209e-05
ERICH2,2,170777419,2.96733044211628e-05
OR5M3,11,56469578,0.000153864066086529
C8orf82,8,144527342,0.000193253901443757
ZNF418,19,57926182,0.000348386231909692
CYB561D1,1,109494144,0.000354201150475464
C17orf97,17,410343,0.000413349368044047
DYNLT1,6,158636832,0.000413894114196123
PRR30,2,27137101,0.000416840935129503
MFSD3,8,144509338,0.000431784344572472
ZKSCAN2,16,25239826,0.000526322628165099
KRTAP19-2,21,30487193,0.00056845747071832
TRAPPC13,5,65625074,0.000688251127912709
ZFYVE21,14,103715846,0.000694149799006061
FOLR2,11,72218609,0.000699017092046228
TCOF1,5,150361157,0.00072980982930626
GPATCH2,1,217431150,0.000739032054544841
RCAN3,1,24514392,0.000741402772563848
MFSD7;MYL5,4,681959,0.000745423834905501
PSMD4,1,151254799,0.000762138978289473
LCMT1,16,25111883,0.000788814668330695
GHR,5,42424594,0.000809053229177126
SERHL2,22,42554023,0.000835443067175756
TMEM161B,5,88196216,0.000854363355469068
CDK20,9,87967466,0.000895190879761198
MS4A4A,11,60280684,0.000897234686847992
CCDC54,3,107377592,0.000926656682004756
LDB1,10,102108103,0.000955252217707647
DYNC1H1,14,101964708,0.00111127300043201
WIPI1,17,68421786,0.00114485278995735
KCNT1,9,135702262,0.00118825713740756
MAS1,6,159906962,0.00123296608543189
MRPL37,1,54200247,0.00123536938780699
DLX3,17,49991549,0.0012593362793345
OR6C75,12,55365111,0.00135582397711387
ZNF462,9,106923435,0.00136891229610669
CNFN,19,42387179,0.00138438604563174
GPATCH11,2,37084521,0.00138756314852362
HLTF,3,149032270,0.00138859860397389
CDCA7,2,173354971,0.00140118257319632
ZNF677,19,53236985,0.00140229620362431
OAT,10,124397951,0.00146361840552678
TBC1D4,13,75286840,0.00148004614402175
FJX1,11,35618638,0.0015031102641565
SOX18,20,64048170,0.00159298206936387
FAM177A1,14,35046474,0.00160444493994216
RPS12,6,132814973,0.00165284742380245
ITSN2,2,24203627,0.00167730312805991
PDE6B,4,625637,0.00216412982265424
DSCAM,21,40013057,0.00223082906516769
C16orf72,16,9092055,0.00230322072425959
SIKE1,1,114774284,0.00235372823998137
PABPN1L,16,88863737,0.00237843483187106
GRIN2B,12,13562829,0.00239912182446078
DOCK4,7,111728290,0.00241514806472209
GNB1,1,1787350,0.0024664113498869
ARHGAP39,8,144530430,0.00253415433639137
KRTAP10-6,21,44591430,0.00255755409561376
CSF3,17,40015471,0.00256775675087395
CCDC168,13,102729465,0.00257064588301736
TSTA3,8,143612917,0.00267407630778482
ENO2,12,6915839,0.00268134800914122
OR51Q1,11,5422217,0.00274805323791494
KCND3,1,111776087,0.00278039801978869
MYO1D,17,32494767,0.00284414509494224
PRC1,15,90967131,0.00284569137550206
NLRP1,17,5501824,0.00286263989855029
OR5AR1,11,56663702,0.00287959925167036
SPNS3,17,4433972,0.00290636961838542
KCNK10,14,88185573,0.00295809428336935
ZNF493,19,21397241,0.00304316483387879
OR8D2,11,124319273,0.00304676786000402
CTBP2,10,124989526,0.00306200803359691
IPCEF1,6,154159833,0.00310004878788617
TLL1,4,165873915,0.00329301160604722
HNRNPUL2,11,62715303,0.00348622990923575
TGFB2,1,218346726,0.00349063364142788
NACC1,19,13135487,0.00349689356013994
NOXRED1,14,77394700,0.00357163303163188
FBXL20,17,39264239,0.00357488475755019
IARS,9,92210827,0.00370457905457389
LCP2,5,170248699,0.00373308296085062
CNGB3,8,86575814,0.00375195416841712
DAPK3,19,3959112,0.00378533575094042
PXK,3,58333059,0.00383093330808926
FAM214B,9,35105231,0.00392270136317319
CFAP20,16,58114853,0.00395272369619115
NARFL,16,730424,0.0039529422229303
OR2A25,7,144074220,0.00404106333598098
FAM189A1,15,29123440,0.00419391476238795
ALS2,2,201701868,0.00429186563630191
TIMP4,3,12153526,0.00430243787949258
ASCL4,12,107775222,0.00430286969258942
UST,6,148747431,0.0043402828421385
ATP2A1,16,28878684,0.00436646558210951
ZNFX1,20,49247271,0.00454421268626926
MEGF6,1,3490528,0.00456361202518785
OR5K4,3,98353857,0.00460052481178841
GJB7,6,87284258,0.00468810258706687
MBNL2,13,97276242,0.00469937096633555
OR1Q1,9,122614739,0.00473705784296352
TIGD6,5,149994808,0.00484666200262851
NKX2-4,20,21395920,0.00485529357973002
MSL2,3,136151165,0.00487042463441811
NCAM2,21,20998573,0.00487600593309379
TLK2,17,62481129,0.00487893621137414
HDAC11,3,13481256,0.0049826698027573
SLC35A5,3,112563404,0.00500124944252511
WDR24,16,684738,0.00500770648469218
FLYWCH1,16,2929700,0.0051238107740762
LHCGR,2,48687714,0.00519817842185932
MSANTD3,9,100445191,0.00532019993527677
PLEKHD1,14,69484975,0.00532268517570367
PLA2G4F,15,42141995,0.00534543730910508
THADA,2,43230958,0.00535812224863064
GATD1,11,770994,0.00546040282520355
SCN8A,12,51662825,0.00549302332407453
CLCN7,16,1446635,0.00550843377397958
CARNS1,11,67417423,0.00558564728632316
HNRNPUL1,19,41264516,0.00558960777938444
FAM120A,9,93451927,0.00559731496551885
AFDN,6,167827149,0.0056568439846828
C7orf50,7,997642,0.00567186707117362
FBXW2,9,120764567,0.00567752919560249
GDF6,8,96144609,0.0056840898897339
SPIB,19,50418969,0.00573516642402905
GIMAP1;GIMAP1-GIMAP5,7,150719057,0.00576669939914709
ACAD11,3,132558982,0.00576672536067979
RAB10,2,26109797,0.00577417002544867
KCTD6,3,58498762,0.00577719182212022
MYCBP2,13,77045467,0.00581700720757083
NEK7,1,198232602,0.00581761383813806
PCBD1,10,70883952,0.00581790749663469
TWIST1,7,19116730,0.00588969624514846
PPM1G,2,27381607,0.00589179130004858
TEK,9,27109591,0.00590730645345228
BCAS4,20,50794994,0.00596059052382658
YLPM1,14,74763494,0.00597287174596051
PNKD,2,218270537,0.0059858379632578
HSPG2,1,21823320,0.00601548020076959
ZNF75A,16,3308450,0.00604697463116088
GPAT2,2,96022174,0.00608459279341067
TMEM18,2,669585,0.00609809214452972
IVD,15,40405823,0.00611436997894688
ADGRA3,4,22387736,0.00615984845344641
ADGRF2,6,47673420,0.00618300733896915
CARD17,11,105099373,0.00619155809442129
HIST2H2AB,1,149887520,0.00620440754341545
NGF,1,115286107,0.00626574764862853
AQP2,12,49950837,0.00629690950287665
TRIM21,11,4385302,0.00629904294572503
ZNF565,19,36182471,0.00632181685443334
LHX2,9,124012371,0.00637233977852003
ANKRD49,11,94496713,0.00640813585067657
NECTIN2,19,44846583,0.00643170570185736
EXT1,8,117799726,0.00653951747127612
TRIP6,7,100867502,0.00656759845331301
RHAG,6,49605817,0.00659180783718238
LRRC3C,17,39943953,0.00662198038133466
KMT2D,12,49021796,0.00663072531400244
SARS,1,109214075,0.00663271881127725
GRK1,13,113667408,0.00663310499147063
TRIM17,1,228408203,0.00679766574748297
PRODH,22,18913242,0.00684854402434298
POLR3F,20,18467513,0.00688361236380752
HOOK2,19,12763283,0.00693034391659786
CNPY2,12,56310562,0.00695228028638317
CD40,20,46121892,0.00696015222394053
DISP1,1,222942836,0.00697511074382251
RAMP3,7,45157854,0.00707497916601907
UBE2C,20,45812711,0.00707749272517277
HTR1D,1,23193093,0.00713117734104407
TDRD10,1,154507270,0.00716554688648086
KY,3,134603596,0.00725825708117911
ABHD4,14,22598310,0.00731865285033617
MFN1,3,179348903,0.00733083540027868
C12orf56,12,64267190,0.00735208835273138
IFNB1,9,21077314,0.00737393969211242
KCNJ5,11,128911290,0.00737961967711231
KAZN,1,14599010,0.00742411074750271
KRT78,12,52839117,0.00744672594208795
SPINK7,5,148312491,0.00747867527436541
METTL17,14,20990003,0.00753892147865298
ECH1,19,38815617,0.00761238943673737
PTGDS,9,136977588,0.00762820212996596
USP33,1,77697327,0.00768274194036556
FNDC7,1,108712946,0.00771391192855042
CILP2,19,19538351,0.00776087333454278
H2AFY2,10,70075663,0.00777092697434467
SQLE,8,124999405,0.00782024853401053
MARCH2,19,8421841,0.00788022280455458
STRIP1,1,110034645,0.00796535861093084
FAM26E,6,116511709,0.00799642973411152
DCST1,1,155034056,0.00804038678591368
ACAT1,11,108121607,0.00812066906821152
ZDHHC17,12,76764237,0.00823670769638662
LIFR,5,38481600,0.00826474821266687
PRPF40B,12,49630562,0.00829928726626783
DMXL2,15,51448994,0.00832072390539174
SPATA31D3,9,81945174,0.00834417459650361
ZC3H12C,11,110093424,0.00835448737141953
PRDM6,5,123090039,0.00851973842968734
KCTD1,18,26455768,0.00856314812497816
IL36RN,2,113059451,0.00860198171048421
NAPG,18,10526157,0.00860773384502955
IL4R,16,27340220,0.00862728427871906
