SNP,Chromosome,Position,trait1
ZNF462,9,106923435,6.91561227283977e-07
XPO5,6,43523878,4.45739871712814e-06
SNRNP48,6,7590258,1.92773998686224e-05
KCTD18,2,200490102,2.67777214558729e-05
CHAF1B,21,36386171,2.69047413326007e-05
CLECL1,12,9716769,3.16416871721792e-05
AKR1C4,10,5196873,3.74100378338627e-05
SFRP1,8,41265178,5.69875465158409e-05
ZNF326,1,89995258,8.00387228913069e-05
PFKFB4,3,48519758,9.25173771803012e-05
LRRC49,15,70873207,0.00010936627769853
SC5D,11,121303391,0.000131904748901901
POTEJ,2,130611558,0.000147592769137117
TCEANC2,1,54054434,0.000163873122556724
CPSF4L,17,73248497,0.000186526942681176
PDIK1L,1,26114318,0.000202357349971982
MRPL20,1,1402130,0.000218162691348001
EPGN,4,74308553,0.000237866803078912
CLEC4C,12,7729609,0.000238555263653462
MIP,12,56451281,0.00026619373206116
OR8D2,11,124319273,0.000341594709263759
NDUFAF5,20,13785075,0.00035748106869482
UCK1,9,131525057,0.000379655123636025
ID1,20,31605397,0.000399369075736788
SMIM12,1,34855716,0.000409492805327205
DET1,15,88512985,0.000436594749491204
TRIP12,2,229767610,0.000461032298708419
TAOK3,12,118150999,0.000467388339205899
A4GALT,22,42692907,0.000472420504406434
PIK3R1,5,68226680,0.000494555896033866
TNNI3,19,55151864,0.000570472426772772
EEF1A2,20,63488306,0.000604472914047083
AMD1,6,110875109,0.000636614627085197
GOLGA3,12,132773115,0.000667158897794229
PQLC3,2,11155551,0.000680064951795956
SPATA20,17,50547210,0.000740233110211763
GPC2,7,100170234,0.000786478664382639
TMCO3,13,113495624,0.000800165727438684
CDK7,5,69234988,0.000809920817954501
CDH6,5,31267475,0.000831118488614502
GABARAPL2,16,75566500,0.000832599991036687
DNAJC16,1,15529131,0.000835308158079417
PPP1R14D,15,40815651,0.000861822206774887
RUFY1,5,179550570,0.000869854324700992
TMEM246,9,101475895,0.000929959306062988
SOCS5,2,46758533,0.000932362895402994
SLC36A1,5,151458825,0.00095983476603545
ARHGEF7,13,111115543,0.000974262588226082
PPOX,1,161166860,0.00100108410132926
KCNIP4,4,20730085,0.00104577156822627
ST13,22,40826542,0.00104956147427393
HIST2H3D,1,149813284,0.00109209079558081
REXO4,9,133406953,0.00115240689299712
CELF1,11,47472301,0.00117733961232858
DNAAF3,19,55159099,0.00118811513896455
TMEM65,8,124313964,0.00119272287072447
CLEC1A,12,10071344,0.00123045555810275
MAP1A,15,43521480,0.00126363122761664
NKX3-2,4,13542059,0.00128372093963092
DNAJC24,11,31370756,0.00131485301365186
BAGE2;BAGE3,21,10413744,0.00134727138272139
MRPS18A,6,43671767,0.00134892242023288
POLR2F,22,37956783,0.00135498399108469
