SNP,Chromosome,Position,trait1
HOXB13,17,48726797,3.00372566819362e-08
RALGPS1,9,126962326,9.01772883710183e-06
GNS,12,64716775,0.000103205822023056
ATXN7L2,1,109483970,0.000133471809319219
AREL1,14,74663740,0.00016400086632129
SMO,7,129189198,0.000213467449809546
MOG,6,29657229,0.000346210910273426
PARP6,15,72241468,0.00036984716074262
MRPL20,1,1402130,0.000396257603383798
MAGI1,3,65356434,0.000412471305133111
FKBP15,9,113166082,0.000414044635649868
ETV1,7,13895895,0.000427194956290622
SPATA31E1,9,87882919,0.000465752802535913
FECH,18,57550737,0.000482849986086498
BOC,3,113249805,0.000628953651055308
PDE7B,6,135947468,0.000637146306753378
RNF10,12,120534899,0.000656262872877567
RBMS2,12,56522077,0.000679542544437584
NOTCH2,1,119915358,0.000690801289539245
RNFT2,12,116740511,0.000697132827589098
SND1,7,127652379,0.000803612500303696
ZNF667,19,56441187,0.000830290010725099
ATP10B,5,160565469,0.00093700905938654
OR5H14,3,98149386,0.000958512616320517
WDR77,1,111441287,0.0010205733277816
RNF148,7,122701837,0.00108981685864284
SLC4A1AP,2,27663771,0.00110636599033265
ZBED5,11,10852891,0.00112306044439947
SDF4,1,1217517,0.00112844132706991
CA2,8,85464083,0.00119379459355229
ANO3,11,26189191,0.00119852981568824
UGT2B28,4,69280501,0.00124419779058216
EML3,11,62602322,0.0012993534551049
PANK1,10,89588699,0.00152481994810338
FUT3,19,5843771,0.0015495114528995
PTPRB,12,70524534,0.00155970911054637
EPC1,10,32269094,0.00159302234136627
SCARF2,22,20425403,0.00160874087262763
OSBPL5,11,3088239,0.00166570346148376
PLA2G16,11,63574958,0.00167506590832112
PRPF40A,2,152656337,0.0016786166473548
GFRA2,8,21693330,0.00168445926391003
PTPN6,12,6946735,0.00168952707593395
DNAJB12,10,72335817,0.00172090337970698
YIPF7,4,44622481,0.00174331457614163
AVPR1A,12,63147364,0.00174644390404843
FAM86B2,8,12427663,0.00175161740703345
