SNP,Chromosome,Position,trait1
PSG8,19,42754310,4.62380036804211e-05
ST8SIA3,18,57352848,0.000168314363263034
FRS2,12,69569063,0.000210893729670425
LIPF,10,88667319,0.000211372758206041
ISL2,15,76336903,0.000280565656542997
TMEM214,2,27033016,0.000302109837599041
SLC37A3,7,140335276,0.000311379096634035
SERPINA5,14,94587366,0.000317493898700949
SCGB1D1,11,62190286,0.000411194634159839
COQ5,12,120503804,0.000412439703772916
NDUFC2,11,78069887,0.000442252684464184
ABT1,6,26596983,0.000487613072279625
WIPF2,17,40256476,0.000515340162726474
TTC5,14,20289644,0.000518005267010846
ZNF419,19,57487964,0.00056375295213118
PIAS4,19,4012974,0.000585440461495224
PPP4R3B,2,55549925,0.000586666088111532
SGCG,13,23203701,0.000594368786583588
PHF14,7,10974835,0.000604812027081514
AMOTL2,3,134357723,0.00062092247000789
RNASE13,14,21033828,0.000629689044616577
TM9SF1,14,24189446,0.00064115659609143
EPB41,1,28987480,0.000649064318620218
UBE2I,16,1314046,0.000723105200181262
VIL1,2,218423794,0.000780117416015691
KCTD20,6,36470099,0.000785931759155312
F2RL3,19,16889199,0.000806426471257726
PRSS48,4,151277174,0.000830067555373404
WDR4,21,42850050,0.000844240471920554
NUP155,5,37291910,0.000867839631097933
UQCR11,19,1599441,0.000874203483236413
ARFIP2,11,6477130,0.000877258489885402
SS18,18,26018361,0.000911294865030277
STRA6,15,74180090,0.000988024157671519
KLF12,13,73695501,0.00107075931042477
ZNF557,19,7075076,0.00110141392787355
CCL24,7,75811828,0.00111596522812529
PDIK1L,1,26114318,0.00113964820481016
WFDC10A,20,45629826,0.00114486025842753
PPP1R36,14,64549990,0.00117988148263237
UNC45A,15,90935326,0.00119532549537971
ASS1,9,130452237,0.00121182583121271
DHX29,5,55256495,0.00124254440076832
COMMD10,5,116085057,0.0012653529023563
ZNF646,16,31076338,0.00132194597870405
NBN,8,89935601,0.00137930581166812
IL27,16,28499658,0.0013986635127764
TFAP4,16,4258072,0.0014496208962903
DYNC1LI1,3,32526818,0.00153341421692332
NTM,11,131370822,0.00158034960455566
MCF2L,13,112969410,0.00161430969721443
BMP8B,1,39760430,0.00165290511819771
CRTC3,15,90530155,0.00165657020668508
MC5R,18,13825797,0.00167740963001839
FXYD4,10,43373747,0.00179742276698525
GMPR2,14,24233207,0.00180479450439441
DEFB127,20,157557,0.00181868167921673
C6orf222,6,36317359,0.00187569672495103
MED1,17,39407486,0.00191511802481836
MAD2L1BP,6,43635886,0.001966039338689
MAPK8,10,48401676,0.00202999680321758
NR1I2,3,119782758,0.00203029545579292
SQOR,15,45658925,0.00212005319720432
ZNF426,19,9528384,0.00214713824959456
FOSL1,11,65892902,0.00215947475493972
DDHD2,8,38232995,0.00217967887155945
MMP23B,1,1632225,0.00218471397359166
ZNF839,14,102319778,0.00227082727590255
TRAPPC13,5,65625074,0.00228307882220624
MORF4L1,15,78873025,0.00230457868661127
TLK2,17,62481129,0.00235631636248168
LRCOL1,12,132604259,0.00236318156491
IL20,1,206865854,0.00239204501915946
KRTAP20-2,21,30635286,0.00239545488138793
NUB1,7,151341790,0.00263027385079095
CBX6,22,38866215,0.00273849124213521
UGT2A2,4,69639536,0.00276990289135626
STAC2,17,39212298,0.00286043030237415
POC5,5,75674499,0.00294906655826088
SERPINH1,11,75566353,0.0029681537744336
SEC14L4,22,30490114,0.00299035708039763
BTG4,11,111495172,0.00307436358258339
FAM110A,20,844806,0.00308330765943388
WDR70,5,37379375,0.00314667841404548
BRSK2,11,1390300,0.00326996047874084
AIPL1,17,6425469,0.00330328194026885
CCDC70,13,51865398,0.00333068918432711
RPL19,17,39200345,0.00352015936066641
FTH1,11,61964735,0.0035919792843444
ATP1B1,1,169106848,0.00369477850404165
GALNT15,3,16175155,0.00377878919456887
METTL21A,2,207613048,0.00378367472474639
ZC3H18,16,88577148,0.00380718288404092
STAT2,12,56343406,0.00383971233789226
MTHFR,1,11790681,0.00387532300376514
L3MBTL4,18,5956216,0.00393692699848025
