SNP,Chromosome,Position,trait1
MIA3,1,222618132,1.06403469640748e-05
LSG1,3,194642071,4.33872921213885e-05
OR51I2,11,5453603,4.979764989399e-05
PARP1,1,226361468,5.78772174073539e-05
GLRX5,14,95535103,8.12716250734313e-05
FXR2,17,7591868,0.000101019085681275
SCAF1,19,49645126,0.000135860913952679
TMEM106C,12,47964274,0.000146262523434859
USP6,17,5130608,0.000203401670841985
LOC100996842,17,7582242,0.000227748540014838
TRADD,16,67154660,0.000239344001538355
GRM5,11,88508632,0.000239661136087754
IRX2,5,2748377,0.000244006721147327
FAM126A,7,22945600,0.000252351017011487
MRPS16,10,73250877,0.000287331569477689
ZDHHC23,3,113948828,0.000329814714325249
SEPT2,2,241317512,0.000335068317306231
CYP8B1,3,42874343,0.000346581597418627
C19orf66,19,10086440,0.000379471227391792
FBLN1,22,45503010,0.000389350601883942
RANBP10,16,67726447,0.000394445587696746
FBXO41,2,73258990,0.000397541793277889
ZNF512B,20,63959926,0.000416458347263227
DUSP28,2,240560703,0.000417795905651608
IBTK,6,82171495,0.000432084151931189
LGI3,8,22148215,0.000435564890936546
SIK3,11,116846520,0.000466046658906705
METTL5,2,169811833,0.000485545267143839
TMEM255B,13,113766142,0.000487852572799929
FAM178B,2,96877918,0.000509106419349981
NELFA,4,1983356,0.000536324425050361
GRID2IP,7,6497800,0.000552540786219136
CPNE9,3,9704053,0.000568365082295519
GPAT3,4,83536707,0.000574818741664318
ANKEF1,20,10038304,0.000582166804275142
OR51L1,11,4998999,0.000588406711814704
LY6D,8,142785295,0.000609567616482343
ATP8B4,15,49860205,0.000613363447771409
OR5D13,11,55773464,0.000635575298284174
SMG9,19,43731610,0.000651749026463699
TRUB1,10,114938278,0.000653041473261728
PRSS21,16,2817269,0.000688588977669213
HIST1H1C,6,26055824,0.000732899275071142
PIGN,18,62045869,0.000743915955531582
KRTAP10-5,21,44579773,0.000754534567076859
LRP3,19,33194814,0.00079174406771676
KCNN3,1,154708026,0.000797800051486552
SRD5A1,5,6633564,0.000830167862440279
RCN3,19,49528524,0.000831348081801964
NCAM2,21,20998573,0.00084052763705722
DMRT3,9,977005,0.00089086487604384
MS4A12,11,60497324,0.000923510508965553
GAS1,9,86945821,0.000925104507710106
LRP10,14,22872758,0.00092742352069175
ADAMTS20,12,43354237,0.000939702112254137
GGT7,20,34845353,0.000940188161726474
RRP7A,22,42512917,0.000958557640247437
RAB36,22,23145390,0.00102599259995073
RBMS2,12,56522080,0.00106129922278275
TEX15,8,30833316,0.00108540617474495
HCRTR2,6,55174595,0.00110347282672973
CHMP5,9,33265115,0.00113754963355028
LOC643802,16,53370157,0.00118487170488069
FAM129C,19,17523451,0.00122336142834212
DMTF1,7,87166486,0.00125535452676884
NPY4R,10,46461897,0.0012820958467854
RPS23,5,82276161,0.00131311144537949
NOTUM,17,81952994,0.00133135842252752
LEKR1,3,156829334,0.00136694729433773
ATP10B,5,160565493,0.00137615446075101
TSGA10,2,98998217,0.00138363663524532
FAM131C,1,16058454,0.00140222344903052
GAK,4,849710,0.00141415219932817
TP53RK,20,46686755,0.00141938456086876
CRYGC,2,208128220,0.00142814394830182
IFI16,1,159014801,0.0014426389046599
PDP2,16,66884357,0.00151942772450409
SCRN3,2,174395784,0.00154027925137046
CD82,11,44600171,0.00159459546293195
AGAP2,12,57726632,0.00163870567956137
RPAP2,1,92299074,0.00164787829066604
TXNRD3NB,3,126572165,0.00169268976526549
TPM3,1,154169306,0.00174452390466218
LRP12,8,104490711,0.00179632792938156
CCT5,5,10250348,0.00182155044761079
ZNF627,19,11614570,0.00185476377933358
PPP1R7,2,241153547,0.00188360628836381
OCM,7,5880900,0.0018887285523207
GUCY1A3,4,155696888,0.00192309777416932
ZBTB5,9,37440535,0.00198187417996754
RPUSD4,11,126203441,0.00199218611667307
SCP2,1,52927431,0.00200145447410827
ARHGAP29,1,94173891,0.00201724527070357
SLC29A2,11,66363446,0.00201928236111137
TRIM2,4,153270399,0.00203757815887728
RAD50,5,132557327,0.00203909746811604
FOXRED2,22,36490013,0.00206514253283363
UCHL5,1,193016377,0.00207031693402937
COPB2,3,139357871,0.00211237150664056
ZNF701,19,52572306,0.00211930359855816
